Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtQual,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenAbvGr,KitchenQual,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,AgeBuilt,AgeRemodeled,AgeGarage,MSSubClass_30,MSZoning_C (all),MSZoning_RM,CentralAir_N,CentralAir_Y,GarageType_Attchd,GarageType_Detchd
14,91.0,10652.0,7.0,5.0,2006.0,2007.0,4.0,1.0,0.0,1494.0,1494.0,0.0,1494.0,2.0,1.0,4.0,4.0,2006.0,2.0,3.0,840.0,16.0,15.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
15,77.66666666666667,10920.0,6.0,5.0,1960.0,1960.0,3.0,4.0,733.0,1253.0,1253.0,0.0,1253.0,1.0,1.0,3.0,2.0,1960.0,2.0,1.0,352.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
16,51.0,6120.0,7.0,8.0,1929.0,2001.0,3.0,1.0,0.0,832.0,854.0,0.0,854.0,1.0,1.0,3.0,0.0,1991.0,1.0,2.0,576.0,93.0,21.0,31.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
17,81.0,11241.0,6.0,7.0,1970.0,1970.0,3.0,5.0,578.0,1004.0,1004.0,0.0,1004.0,1.0,1.0,3.0,3.0,1970.0,3.0,2.0,480.0,52.0,52.0,52.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
18,72.0,10791.0,4.0,5.0,1967.0,1967.0,0.0,0.0,0.0,0.0,1296.0,0.0,1296.0,2.0,2.0,3.0,0.0,1967.0,1.0,2.0,516.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,66.0,13695.0,5.0,5.0,2004.0,2004.0,3.0,6.0,646.0,1114.0,1114.0,0.0,1114.0,1.0,1.0,4.0,0.0,2004.0,1.0,2.0,576.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20,70.0,7560.0,5.0,6.0,1958.0,1965.0,3.0,2.0,504.0,1029.0,1339.0,0.0,1339.0,1.0,1.0,3.0,0.0,1958.0,1.0,1.0,294.0,64.0,57.0,64.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
21,101.0,14215.0,8.0,5.0,2005.0,2006.0,5.0,1.0,0.0,1158.0,1158.0,1218.0,2376.0,3.0,1.0,4.0,4.0,2005.0,2.0,3.0,853.0,17.0,16.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,57.0,7449.0,7.0,7.0,1930.0,1950.0,3.0,1.0,0.0,637.0,1108.0,0.0,1108.0,1.0,1.0,4.0,4.0,1930.0,1.0,1.0,280.0,92.0,72.0,92.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
23,75.0,9742.0,8.0,5.0,2002.0,2002.0,4.0,1.0,0.0,1777.0,1795.0,0.0,1795.0,2.0,1.0,4.0,4.0,2002.0,2.0,2.0,534.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
24,44.0,4224.0,5.0,7.0,1976.0,1976.0,4.0,6.0,840.0,1040.0,1060.0,0.0,1060.0,1.0,1.0,3.0,3.0,1976.0,1.0,2.0,572.0,46.0,46.0,46.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
25,78.66666666666667,8246.0,5.0,8.0,1968.0,2001.0,3.0,3.0,188.0,1060.0,1060.0,0.0,1060.0,1.0,1.0,4.0,3.0,1968.0,1.0,1.0,270.0,54.0,21.0,54.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
26,110.0,14230.0,8.0,5.0,2007.0,2007.0,4.0,1.0,0.0,1566.0,1600.0,0.0,1600.0,2.0,1.0,4.0,4.0,2007.0,2.0,3.0,890.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
27,60.0,7200.0,5.0,7.0,1951.0,2000.0,3.0,4.0,234.0,900.0,900.0,0.0,900.0,1.0,1.0,4.0,0.0,2005.0,1.0,2.0,576.0,71.0,22.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
28,98.0,11478.0,8.0,5.0,2007.0,2008.0,5.0,6.0,1218.0,1704.0,1704.0,0.0,1704.0,2.0,1.0,4.0,4.0,2008.0,2.0,3.0,772.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29,47.0,16321.0,5.0,6.0,1957.0,1997.0,3.0,4.0,1277.0,1484.0,1600.0,0.0,1600.0,1.0,1.0,3.0,4.0,1957.0,2.0,1.0,319.0,65.0,25.0,65.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
30,60.0,6324.0,4.0,6.0,1927.0,1950.0,3.0,1.0,0.0,520.0,520.0,0.0,520.0,1.0,1.0,2.0,0.0,1920.0,1.0,1.0,240.0,95.0,72.0,102.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
31,50.0,8500.0,4.0,4.0,1920.0,1950.0,3.0,1.0,0.0,649.0,649.0,668.0,1317.0,1.0,1.0,3.0,0.0,1920.0,1.0,1.0,250.0,102.0,72.0,102.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
32,70.33333333333333,8544.0,5.0,6.0,1966.0,2006.0,3.0,1.0,0.0,1228.0,1228.0,0.0,1228.0,1.0,1.0,4.0,0.0,1966.0,1.0,1.0,271.0,56.0,16.0,56.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
33,85.0,11049.0,8.0,5.0,2007.0,2007.0,5.0,1.0,0.0,1234.0,1234.0,0.0,1234.0,2.0,1.0,4.0,0.0,2007.0,2.0,2.0,484.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
34,70.0,10552.0,5.0,5.0,1959.0,1959.0,3.0,3.0,1018.0,1398.0,1700.0,0.0,1700.0,1.0,1.0,4.0,4.0,1959.0,2.0,2.0,447.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
35,60.0,7313.0,9.0,5.0,2005.0,2005.0,5.0,6.0,1153.0,1561.0,1561.0,0.0,1561.0,2.0,1.0,5.0,4.0,2005.0,3.0,2.0,556.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
36,108.0,13418.0,8.0,5.0,2004.0,2005.0,5.0,1.0,0.0,1117.0,1132.0,1320.0,2452.0,3.0,1.0,4.0,4.0,2004.0,3.0,3.0,691.0,18.0,17.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,112.0,10859.0,5.0,5.0,1994.0,1995.0,4.0,1.0,0.0,1097.0,1097.0,0.0,1097.0,1.0,1.0,3.0,0.0,1995.0,1.0,2.0,672.0,28.0,27.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
38,74.0,8532.0,5.0,6.0,1954.0,1990.0,3.0,3.0,1213.0,1297.0,1297.0,0.0,1297.0,1.0,1.0,3.0,3.0,1954.0,3.0,2.0,498.0,68.0,32.0,68.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
39,68.0,7922.0,5.0,7.0,1953.0,2007.0,3.0,6.0,731.0,1057.0,1057.0,0.0,1057.0,1.0,1.0,4.0,0.0,1953.0,1.0,1.0,246.0,69.0,15.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
40,65.0,6040.0,4.0,5.0,1955.0,1955.0,0.0,0.0,0.0,0.0,1152.0,0.0,1152.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,2022.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,84.0,8658.0,6.0,5.0,1965.0,1965.0,3.0,3.0,643.0,1088.0,1324.0,0.0,1324.0,2.0,1.0,3.0,3.0,1965.0,2.0,2.0,440.0,57.0,57.0,57.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
42,115.0,16905.0,5.0,6.0,1959.0,1959.0,3.0,4.0,967.0,1350.0,1328.0,0.0,1328.0,1.0,1.0,3.0,4.0,1959.0,2.0,1.0,308.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
43,61.66666666666666,9180.0,5.0,7.0,1983.0,1983.0,4.0,5.0,747.0,840.0,884.0,0.0,884.0,1.0,1.0,4.0,0.0,1983.0,2.0,2.0,504.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
44,77.33333333333333,9200.0,5.0,6.0,1975.0,1980.0,4.0,2.0,280.0,938.0,938.0,0.0,938.0,1.0,1.0,3.0,0.0,1977.0,1.0,1.0,308.0,47.0,42.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
45,70.0,7945.0,5.0,6.0,1959.0,1959.0,3.0,5.0,179.0,1150.0,1150.0,0.0,1150.0,1.0,1.0,3.0,0.0,1959.0,2.0,1.0,300.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
46,61.0,7658.0,9.0,5.0,2005.0,2005.0,5.0,6.0,456.0,1752.0,1752.0,0.0,1752.0,2.0,1.0,5.0,4.0,2005.0,2.0,2.0,576.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
47,48.0,12822.0,7.0,5.0,2003.0,2003.0,5.0,6.0,1351.0,1434.0,1518.0,631.0,2149.0,1.0,1.0,4.0,5.0,2003.0,2.0,2.0,670.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
48,84.0,11096.0,8.0,5.0,2006.0,2006.0,4.0,6.0,24.0,1656.0,1656.0,0.0,1656.0,2.0,1.0,4.0,0.0,2006.0,2.0,3.0,826.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
49,33.0,4456.0,4.0,5.0,1920.0,2008.0,3.0,1.0,0.0,736.0,736.0,716.0,1452.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,102.0,14.0,2022.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
50,66.0,7742.0,5.0,7.0,1966.0,1966.0,3.0,4.0,763.0,955.0,955.0,0.0,955.0,1.0,1.0,3.0,0.0,1966.0,1.0,1.0,386.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
51,64.33333333333333,13869.0,6.0,6.0,1997.0,1997.0,4.0,6.0,182.0,794.0,794.0,676.0,1470.0,2.0,1.0,3.0,0.0,1997.0,3.0,2.0,388.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
52,52.0,6240.0,6.0,6.0,1934.0,1950.0,3.0,1.0,0.0,816.0,816.0,0.0,1176.0,1.0,1.0,3.0,4.0,1985.0,1.0,2.0,528.0,88.0,72.0,37.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
53,110.0,8472.0,5.0,5.0,1963.0,1963.0,4.0,2.0,104.0,816.0,816.0,0.0,816.0,1.0,1.0,3.0,0.0,1963.0,1.0,2.0,516.0,59.0,59.0,59.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
54,68.0,50271.0,9.0,5.0,1981.0,1987.0,5.0,6.0,1810.0,1842.0,1842.0,0.0,1842.0,0.0,1.0,4.0,4.0,1981.0,3.0,3.0,894.0,41.0,35.0,41.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
55,60.0,7134.0,5.0,5.0,1955.0,1955.0,3.0,5.0,384.0,384.0,1360.0,0.0,1360.0,1.0,1.0,3.0,3.0,1962.0,1.0,2.0,572.0,67.0,67.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
56,100.0,10175.0,6.0,5.0,1964.0,1964.0,3.0,4.0,490.0,1425.0,1425.0,0.0,1425.0,2.0,1.0,3.0,4.0,1964.0,2.0,2.0,576.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
57,24.0,2645.0,8.0,5.0,1999.0,2000.0,4.0,6.0,649.0,970.0,983.0,756.0,1739.0,2.0,1.0,4.0,0.0,1999.0,3.0,2.0,480.0,23.0,22.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
58,89.0,11645.0,7.0,5.0,2004.0,2004.0,4.0,1.0,0.0,860.0,860.0,860.0,1720.0,2.0,1.0,4.0,0.0,2004.0,2.0,2.0,565.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
59,66.0,13682.0,10.0,5.0,2006.0,2006.0,5.0,1.0,0.0,1410.0,1426.0,1519.0,2945.0,3.0,1.0,4.0,4.0,2006.0,3.0,3.0,641.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,60.0,7200.0,5.0,7.0,1972.0,1972.0,3.0,5.0,632.0,780.0,780.0,0.0,780.0,1.0,1.0,3.0,0.0,1973.0,1.0,1.0,352.0,50.0,50.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
61,63.0,13072.0,6.0,5.0,2004.0,2004.0,4.0,5.0,941.0,1158.0,1158.0,0.0,1158.0,1.0,1.0,4.0,0.0,2006.0,1.0,2.0,576.0,18.0,18.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
62,60.0,7200.0,5.0,7.0,1920.0,1996.0,3.0,1.0,0.0,530.0,581.0,530.0,1111.0,1.0,1.0,2.0,0.0,1935.0,1.0,1.0,288.0,102.0,26.0,87.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
63,44.0,6442.0,8.0,5.0,2006.0,2006.0,4.0,6.0,24.0,1370.0,1370.0,0.0,1370.0,2.0,1.0,4.0,4.0,2006.0,2.0,2.0,484.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
64,50.0,10300.0,7.0,6.0,1921.0,1950.0,3.0,1.0,0.0,576.0,902.0,808.0,1710.0,2.0,1.0,3.0,0.0,1990.0,1.0,2.0,480.0,101.0,72.0,32.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
65,64.0,9375.0,7.0,5.0,1997.0,1998.0,4.0,6.0,739.0,1057.0,1057.0,977.0,2034.0,2.0,1.0,4.0,0.0,1998.0,2.0,2.0,645.0,25.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
66,76.0,9591.0,8.0,5.0,2004.0,2005.0,5.0,1.0,0.0,1143.0,1143.0,1330.0,2473.0,2.0,1.0,4.0,4.0,2004.0,2.0,3.0,852.0,18.0,17.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67,74.0,19900.0,7.0,5.0,1970.0,1989.0,4.0,6.0,912.0,1947.0,2207.0,0.0,2207.0,2.0,1.0,3.0,4.0,1970.0,2.0,2.0,576.0,52.0,33.0,52.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
68,72.0,10665.0,7.0,5.0,2003.0,2003.0,4.0,6.0,1013.0,1453.0,1479.0,0.0,1479.0,2.0,1.0,4.0,0.0,2003.0,2.0,2.0,558.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
69,47.0,4608.0,4.0,6.0,1945.0,1950.0,3.0,1.0,0.0,747.0,747.0,0.0,747.0,1.0,1.0,3.0,0.0,1945.0,1.0,1.0,220.0,77.0,72.0,77.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
70,81.0,15593.0,7.0,4.0,1953.0,1953.0,3.0,4.0,603.0,1304.0,1304.0,983.0,2287.0,2.0,1.0,3.0,3.0,1953.0,3.0,2.0,667.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
71,95.0,13651.0,7.0,6.0,1973.0,1973.0,4.0,5.0,1880.0,2223.0,2223.0,0.0,2223.0,2.0,1.0,3.0,4.0,1973.0,3.0,2.0,516.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
72,69.0,7599.0,4.0,6.0,1982.0,2006.0,3.0,5.0,565.0,845.0,845.0,0.0,845.0,1.0,1.0,3.0,0.0,1987.0,1.0,2.0,360.0,40.0,16.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
73,74.0,10141.0,7.0,5.0,1998.0,1998.0,4.0,1.0,0.0,832.0,885.0,833.0,1718.0,2.0,1.0,3.0,3.0,1998.0,3.0,2.0,427.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
74,85.0,10200.0,5.0,7.0,1954.0,2003.0,3.0,5.0,320.0,1086.0,1086.0,0.0,1086.0,1.0,1.0,3.0,0.0,1989.0,1.0,2.0,490.0,68.0,19.0,33.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
75,60.0,5790.0,3.0,6.0,1915.0,1950.0,2.0,1.0,0.0,840.0,840.0,765.0,1605.0,2.0,2.0,3.0,0.0,1915.0,1.0,1.0,379.0,107.0,72.0,107.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
76,21.0,1596.0,4.0,5.0,1973.0,1973.0,4.0,6.0,462.0,462.0,526.0,462.0,988.0,1.0,1.0,3.0,0.0,1973.0,1.0,1.0,297.0,49.0,49.0,49.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
77,68.0,8475.0,4.0,7.0,1956.0,1956.0,3.0,5.0,228.0,952.0,952.0,0.0,952.0,1.0,1.0,3.0,0.0,1956.0,1.0,1.0,283.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
78,50.0,8635.0,5.0,5.0,1948.0,2001.0,3.0,4.0,336.0,672.0,1072.0,213.0,1285.0,1.0,1.0,3.0,0.0,1948.0,1.0,1.0,240.0,74.0,21.0,74.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
79,72.0,10778.0,4.0,5.0,1968.0,1968.0,3.0,1.0,0.0,1768.0,1768.0,0.0,1768.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,2022.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80,60.0,10440.0,5.0,6.0,1910.0,1981.0,3.0,1.0,0.0,440.0,682.0,548.0,1230.0,1.0,1.0,3.0,0.0,1966.0,1.0,2.0,440.0,112.0,41.0,56.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
81,100.0,13000.0,6.0,6.0,1968.0,1968.0,4.0,3.0,448.0,896.0,1182.0,960.0,2142.0,2.0,1.0,4.0,4.0,1968.0,3.0,1.0,509.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
82,32.0,4500.0,6.0,5.0,1998.0,1998.0,5.0,6.0,1201.0,1237.0,1337.0,0.0,1337.0,2.0,1.0,3.0,0.0,1998.0,3.0,2.0,405.0,24.0,24.0,24.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
83,78.0,10206.0,8.0,5.0,2007.0,2007.0,4.0,6.0,33.0,1563.0,1563.0,0.0,1563.0,2.0,1.0,4.0,4.0,2007.0,2.0,3.0,758.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
84,80.0,8892.0,5.0,5.0,1960.0,1960.0,3.0,1.0,0.0,1065.0,1065.0,0.0,1065.0,1.0,1.0,3.0,0.0,1974.0,1.0,2.0,461.0,62.0,62.0,48.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
85,61.333333333333336,8530.0,7.0,5.0,1995.0,1996.0,4.0,1.0,0.0,384.0,804.0,670.0,1474.0,2.0,1.0,3.0,3.0,1995.0,3.0,2.0,400.0,27.0,26.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86,121.0,16059.0,8.0,5.0,1991.0,1992.0,4.0,1.0,0.0,1288.0,1301.0,1116.0,2417.0,2.0,1.0,4.0,3.0,1991.0,1.0,2.0,462.0,31.0,30.0,31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
87,122.0,11911.0,6.0,5.0,2005.0,2005.0,4.0,1.0,0.0,684.0,684.0,876.0,1560.0,2.0,1.0,4.0,4.0,2005.0,3.0,2.0,400.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
88,40.0,3951.0,6.0,5.0,2009.0,2009.0,4.0,1.0,0.0,612.0,612.0,612.0,1224.0,2.0,1.0,4.0,0.0,2009.0,2.0,2.0,528.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
89,105.0,8470.0,3.0,2.0,1915.0,1982.0,3.0,1.0,0.0,1013.0,1013.0,0.0,1526.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,107.0,40.0,2022.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
90,60.0,8070.0,4.0,5.0,1994.0,1995.0,4.0,6.0,588.0,990.0,990.0,0.0,990.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,27.0,2022.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
91,60.0,7200.0,4.0,5.0,1950.0,1950.0,0.0,0.0,0.0,0.0,1040.0,0.0,1040.0,1.0,1.0,3.0,0.0,1950.0,1.0,2.0,420.0,72.0,72.0,72.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
92,85.0,8500.0,5.0,3.0,1961.0,1961.0,3.0,3.0,600.0,1235.0,1235.0,0.0,1235.0,1.0,1.0,3.0,0.0,1961.0,1.0,2.0,480.0,61.0,61.0,61.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
93,80.0,13360.0,5.0,7.0,1921.0,2006.0,4.0,5.0,713.0,876.0,964.0,0.0,964.0,1.0,1.0,3.0,0.0,1921.0,1.0,2.0,432.0,101.0,16.0,101.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
94,60.0,7200.0,6.0,6.0,1910.0,1998.0,3.0,3.0,1046.0,1214.0,1260.0,1031.0,2291.0,2.0,2.0,3.0,4.0,1900.0,1.0,2.0,506.0,112.0,24.0,122.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
95,69.0,9337.0,6.0,5.0,1997.0,1997.0,4.0,6.0,648.0,824.0,905.0,881.0,1786.0,2.0,1.0,4.0,0.0,1997.0,2.0,2.0,684.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
96,71.0,9765.0,6.0,8.0,1993.0,1993.0,4.0,5.0,310.0,680.0,680.0,790.0,1470.0,2.0,1.0,3.0,3.0,1993.0,3.0,2.0,420.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97,78.0,10264.0,7.0,5.0,1999.0,1999.0,4.0,5.0,1162.0,1588.0,1588.0,0.0,1588.0,2.0,1.0,4.0,0.0,1999.0,2.0,2.0,472.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
98,73.0,10921.0,4.0,5.0,1965.0,1965.0,3.0,3.0,520.0,960.0,960.0,0.0,960.0,1.0,1.0,3.0,0.0,1965.0,3.0,1.0,432.0,57.0,57.0,57.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
99,85.0,10625.0,5.0,5.0,1920.0,1950.0,3.0,5.0,108.0,458.0,835.0,0.0,835.0,1.0,1.0,3.0,0.0,1920.0,1.0,1.0,366.0,102.0,72.0,102.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100,77.0,9320.0,4.0,5.0,1959.0,1959.0,3.0,5.0,569.0,950.0,1225.0,0.0,1225.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,2022.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
101,69.33333333333333,10603.0,6.0,7.0,1977.0,2001.0,3.0,5.0,1200.0,1610.0,1610.0,0.0,1610.0,2.0,1.0,4.0,3.0,1977.0,2.0,2.0,480.0,45.0,21.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
